Date,CMG,CTG,CTS,FPT,HAG,ITD,KDH,MSN,MWG,NLG,NVB,PDR,POT,PVB,PVC,PVD,PVS,VCB,VIC,VNM
2024-01-10,35.62762,34.52423,36.632847,99.99647,13.017759,10.373824,32.81201,81.19894,48.39864,40.284595,10.864028,22.042522,17.393898,21.048864,14.762737,29.847874,37.072384,62.518986,44.57785,65.83488
2024-01-11,35.31231,34.415024,36.90084,102.14872,13.031664,10.412323,32.9451,80.29675,48.00062,40.445683,10.557743,21.651155,17.390072,21.049503,14.576611,29.535696,36.824936,62.206364,44.820942,65.967476
2024-01-12,35.02243,34.280308,36.63611,101.03701,13.084478,10.332298,32.681236,80.31295,47.363426,40.141792,10.466504,21.802187,17.419886,20.791735,14.403717,29.19828,36.385315,61.814484,43.867516,65.93557
2024-01-13,36.07624,34.475315,36.555305,104.843155,13.274596,10.356835,32.79328,80.2681,47.399864,40.7096,10.343519,21.524693,17.423086,20.704943,14.295137,29.201551,36.384235,62.040382,44.560528,65.68337
2024-01-14,37.034016,34.785378,38.190544,112.79172,13.310701,10.416704,33.08994,81.52902,48.83902,41.683804,10.443709,22.784182,17.556137,21.020046,14.336078,29.627094,36.6737,62.522545,44.62665,66.17445
2024-01-15,36.848537,34.457752,38.131886,114.78505,13.291557,10.275456,32.94867,80.604355,47.19664,41.804127,10.460441,22.921133,17.50908,21.762186,14.588157,30.40568,37.27188,62.262825,45.44355,65.95946
2024-01-16,36.91424,34.650177,37.785355,113.03831,13.090519,10.266689,32.58865,80.66436,47.661537,41.232025,10.398468,23.4461,17.588486,21.74982,14.441362,30.6112,37.393867,61.84904,42.972515,65.57361
2024-01-17,36.77592,34.435955,37.080833,111.15354,13.010301,10.30322,32.433376,80.7942,47.41257,41.012665,10.139391,23.307373,17.606655,21.505026,14.393913,30.442892,37.137814,61.721256,43.708122,65.59636
2024-01-18,36.812775,34.14755,36.41451,109.585556,12.941976,10.354147,32.315098,80.6746,47.064568,40.831512,10.153242,23.590141,17.617836,21.371656,14.353287,30.216736,36.906364,61.48724,44.460083,65.343895
2024-01-19,36.933453,33.75249,35.669464,107.420456,12.754869,10.369257,32.246075,80.80312,46.679207,40.792507,9.913319,23.834635,17.671307,21.12509,14.30502,29.945385,36.630722,61.234146,45.143955,65.19501
2024-01-20,35.578033,33.70453,36.30452,105.52863,12.913295,10.425917,32.09657,80.36674,46.333294,40.478245,9.903388,23.248968,17.852753,21.40381,14.341225,30.00731,36.91788,60.756218,46.852222,65.29045
2024-01-21,35.966713,34.48708,37.350758,109.51439,13.440193,10.438903,32.09046,79.94465,49.18282,40.92345,9.939916,23.204533,17.270529,21.489296,14.430208,30.41915,37.271088,61.07791,46.41706,65.50262
2024-01-22,35.748028,35.007084,37.635826,113.575516,13.581126,10.334904,32.36382,80.164085,49.43014,41.36707,9.978298,25.349194,17.279495,21.70846,14.586631,30.546095,37.90195,62.015167,46.615875,65.75899
2024-01-23,35.894257,35.55416,38.46773,112.098625,13.501104,10.192561,32.40577,80.27451,49.7035,41.66587,10.023375,25.98689,17.716722,21.66685,14.520408,30.353186,38.04189,62.65808,46.786922,65.10004
2024-01-24,35.987507,35.379635,38.352295,112.01132,13.575475,10.167748,32.378468,79.73371,49.493332,41.831375,10.016586,26.13501,17.751307,21.762922,14.536974,30.29467,38.038795,62.751472,46.912586,65.03158
2024-01-25,35.701077,35.168327,38.315693,112.90087,13.558717,10.162692,32.3961,78.93919,49.213715,42.043777,10.050168,26.004,17.754128,21.795801,14.545381,30.298876,38.1896,62.770554,47.12599,64.91605
2024-01-26,35.637512,34.853752,37.856617,111.69159,13.557575,10.14164,32.296227,78.44501,49.22125,42.045776,10.117134,26.086098,17.749079,21.715895,14.572304,30.310896,38.315853,62.702217,47.427708,64.81461
2024-01-27,36.198574,35.154205,38.49575,112.76357,13.594483,10.0855,32.957817,77.39331,49.855488,42.533848,10.106586,26.16737,18.170126,21.933516,14.548782,30.81197,38.42217,62.76107,48.126842,65.211685
