CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
CMG,2022,2,0.7837047591999999,1.2888516013,0.6854695328611781,1.4788309565436721,1.1110000824,4.6812057763,69.62989627433227,26.4875939786,51.192464188,147.30995444093227,13.7800360537,0.061528136876547276,0.18838252623952384,0.04674630153262483,0.1049925255,0.0930030165,0.045998037,639473144245.0,105168356344,0.031026253,1.244133771,0.1103952051,1.1199612228,-5.845227833527863,2.2888516012861557,6285060000800,150001432,22.688410572,2.7584371113,0.9382383066,10.334479447,532.6760529126149,15189.7608353232,12.4707114129
CMG,2022,1,0.9434315887,1.3257313151,0.5429893773573446,1.4127677587298733,1.0974754995,5.0690701835,70.12846812942021,26.3361491098,51.2733015291,147.7379187683202,13.8592775458,0.0407660138412597,0.1867559386360358,0.018931422914238372,0.0953078403,0.0820440102,0.0421398144,590285864504.0,72387592312,0.0,1.353467914,0.1351329998,1.1757055558,-4.419153704343969,2.3257313150814687,6474533650200,108998883,26.8499575838,2.990901722,1.0292746505,10.3505753348,308.4090362467293,19860.2313016547,14.0461694373
CMG,2021,4,0.8720774412000001,1.3147900514,0.4444909005195722,1.3605107445021232,1.0531952423,5.0060962722,75.84219105468517,24.7490856999,54.450394206,155.04167096058518,14.7480195602,0.06866913474000466,0.18655830184749797,0.05350825982498231,0.0997136883,0.0832789173,0.0443468623,568916909955.0,126233631032,0.0,1.4824707513,0.1546352744,1.3048829272,-6.580529382557776,2.314790051445738,7063127618400,108998883,28.7506285645,3.2563433044,1.2086240759,12.9307650903,902.4274128662402,19899.6217358209,14.7757688398
CMG,2021,3,0.7932151561999999,1.1949996443,0.4784522901923559,1.2974927091394102,1.0684171594,4.70439472,75.43585960594207,19.3781592034,53.7805647341,148.59458354344207,18.83563842,0.06842065600705594,0.1993989003593889,0.04759118126807406,0.0920973048,0.0795515541,0.042253327,531766603837.0,94115578586,0.0181451613,1.4495596123,0.1720979307,1.3242763621,-5.315389209233397,2.1945167005865494,4959993353600,99999866,22.6316987804,2.3839051539,0.8934355996,10.7623080968,654.6382078151985,20806.1968900838,11.8530393602
CMG,2021,2,0.8115778558,1.2014653284,0.490218864319604,1.2533156260080227,1.0698581568,4.5646213039,76.25184458863052,18.5249040744,55.2392363447,150.0159850077305,19.7032059402,0.048195488691376555,0.18056471125536427,0.033891675513983324,0.0821724984,0.0736156761,0.0377224667,503729240995.0,62696011116,0.0148270181,1.452221831,0.1298509634,1.3363540685,-3.5862361240640435,2.2014653284127816,6069991866200,99999866,31.7869367388,3.0247138996,1.1187900668,15.4436577828,440.886848498377,20068.0137079784,14.8685240838
CMG,2021,1,0.7714323699474335,1.1452544927597046,0.5118018755545904,1.220091395501861,1.0370644330978394,4.357419013977051,80.12848016845959,18.743425369262695,55.760005950927734,154.63191148865002,19.473495483398438,0.03178964780540435,0.13805540477628586,0.021390581819898367,0.07617133855819702,0.07102759927511215,0.035130903124809265,472678727680.0,42325819916,0.0,1.4534438848495483,0.08035541325807571,1.3339195251464844,-3.5221504300061226,2.145254512894231,3539995256400,99999866,20.1995047917,1.8043809407,0.6830465799,10.1936209351,284.8018741045113,19618.9170492388,10.4550520176
CMG,2020,4,0.8240961752,1.1752676086,0.5045827206894561,1.2317208737288226,1.0022496797,4.2904423857,85.1993832204514,22.8100082514,53.7201008642,161.72949233605138,16.0017478283,0.05884810746243562,0.19584412045378002,0.04647337703915923,0.0740387957,0.0679520154,0.0347252278,458469201562.0,90975805344,0.0,1.5212307832,0.1798072933,1.4205943501,-4.662164274513887,2.1752676085702944,3469995350200,99999866,20.3399820952,1.7700791748,0.7047251053,7.7472604564,718.4527678067088,19603.6428735715,10.072583302
CMG,2020,3,0.8135102971000001,1.1911476422,0.5369968540961153,1.1857368917304458,1.0096704618,4.1588542036,85.23555508898221,21.8479887093,53.5257419831,160.6092857813822,16.7063433095,0.06159830545368806,0.1816597478751204,0.037590946902295225,0.073188793,0.0705391177,0.0344212556,444590731554.0,76828551430,0.0322580645,1.5397183546,0.1909344321,1.4269857112,-3.7672651341257137,2.1911476421971368,3099995846000,99999866,18.7194491649,1.6410488357,0.6370392113,5.9441444464,468.85410988450724,18890.3579984497,9.5547869499
CMG,2020,2,0.8760190059999999,1.1616846934,0.5113970981927541,1.2046548560228965,1.0149332928,4.1629592719,88.52230284845638,21.6867234356,50.5128447256,160.72187100965638,16.830573834,0.03783038444517208,0.18313415280314266,0.026798447316389848,0.0728792133,0.0674387694,0.0345864241,437275536130.0,40025599847,0.0302114804,1.6730965236,0.157084852,1.5580119962,-2.358264518951478,2.161684693422311,3309995564600,99999866,19.5828971367,1.7028538073,0.6885832503,11.0170892598,283.53541256745285,19437.9575387231,10.6362846981
CMG,2020,1,0.7943390315000001,1.0641891604,0.5252771499405535,1.1830002090699765,1.077721494,4.2502327128,90.47591327451748,21.0535096564,50.2886159126,161.81803884351748,17.336776906,0.03344727554835664,0.18922190075759687,0.022022145278167312,0.0713165888,0.0690046839,0.0319705856,424533429858.0,35929870554,0.0344827586,1.7583143049,0.1283087585,1.6337947865,-1.8210440902119847,2.0641891603668636,2899996114000,99999866,18.2388062992,1.512803072,0.5972224408,9.7795316476,236.5675160304715,19169.7125267348,9.748821502
