CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
CMG,2015,2,20237740944,19469761561,1672799072,0,-397405192,6960598180,0,47943494565,106815822407,-65637697520,91280394568,-3679150139,-9129202169,-7590681500,0,-4237767193,155765213019,-32082584104,0,-39541825903,31386471763,-2208698360,0,397405192,-42049231412,255000000000,0,293647542862,-372039084505,0,176608458357,290324439964,78226073117,0,368550513081
CMG,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24157468627,-2422384908,-188364223,6010749068,-2806433045,0,-1046233000,1500183590,1047517482,0,0,350790909628,-354667735638,20236800,-3856589210,-26966540355,104938005269,206608203,78178073117
CMG,2014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49819231041,-37573383981,29068521,8820354702,16274660855,-1900000000,3046233000,-474017961,-11777084864,0,0,305513198010,-297721514129,-20236800,7771447081,45813593258,59124412011,0,104938005269
CMG,2014,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13148638081,-9279844030,-3080000,-373902905,-5603518569,0,3046233000,2236910293,-9977202211,0,0,299189616527,-292227314762,-20236800,6942064965,-16183775327,74707571078,88056521,58611852272
CMG,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85718535390,-27029936685,3080000,-485012624,10796072620,0,0,787414291,-15928382398,0,0,280941970853,-371821445064,0,-90879474211,-21089321219,95796892297,0,74707571078
CMG,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33822245140,-50227215055,284619000,38827899100,-35631083894,0,0,2625188343,-44120592506,0,0,527827645364,-499037464889,0,28790180475,-49152657171,145040253307,-90703839,95796892297
CMG,2013,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141769118418,-273354246,130081000,-58165454733,58455319633,0,0,-3772485247,-3625893593,0,0,187952056588,-239482300795,5857571614,-45672672593,92470552232,52511980736,57720339,145040253307
CMG,2013,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156361165036,-43860808558,-4730000,15669913650,-19568817650,0,0,6175855280,-41588587278,0,-1524985000,473186202297,-578541227351,-5857571614,-112737581668,2034996090,50443394456,33590190,52511980736
CMG,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31882743660,-582009336,26730000,-26104188500,30932112500,0,0,308538736,4581183400,0,0,359962989839,-394100318035,0,-34137328196,2326598864,48152461336,-35665744,50443394456
CMG,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,-45892450296,-37746622960,85886310843,12773453,48152461336
