quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
1,2021,35.7,3.2,12.4,0.091,0.036,76,19,54,3.5,923,10324,0.394,0.9,1.5,1.3,-0.185,4727,0.138,0.032,0.021,0.5,0.2,2.4,1.0,2.5,893,0.068,0.035,41,4.8,-0.394,1.1,0.5,0.032,1.4,1.1,0.031,-0.207
4,2020,30.7,2.7,10.1,0.088,0.035,89,23,55,4.7,1133,13017,0.384,0.9,1.5,1.4,0.029,4584,0.196,0.059,0.046,0.5,0.2,2.6,0.8,2.6,1047,0.154,0.104,57,4.1,-0.405,1.0,0.7,0.059,1.1,1.2,0.031,0.038
3,2020,28.1,2.5,9.6,0.089,0.035,88,19,52,3.8,1101,12543,0.382,0.8,1.5,1.4,0.013,4446,0.182,0.062,0.038,0.5,0.2,2.6,0.7,2.6,1045,0.164,0.119,55,4.1,-0.362,1.0,0.6,0.062,1.1,1.2,-0.125,-0.028
2,2020,25.4,2.1,10.6,0.109,0.036,68,20,56,2.4,1087,12907,0.392,0.9,1.7,1.6,0.137,5083,0.183,0.038,0.027,0.6,0.3,2.8,0.8,2.6,1269,0.129,0.089,32,5.4,-0.324,1.1,0.6,0.038,1.3,1.2,0.03,0.014
1,2020,20.9,1.6,9.3,0.097,0.034,66,19,55,1.8,956,12729,0.412,0.9,1.8,1.6,-0.301,4935,0.189,0.033,0.022,0.5,0.2,2.5,0.7,2.4,1262,0.095,0.078,30,5.5,-0.349,1.2,0.4,0.033,1.5,1.1,-0.037,-0.334
4,2019,25.5,1.8,9.3,0.092,0.033,86,25,48,4.9,1367,19123,0.405,0.9,1.8,1.6,0.169,5123,0.195,0.059,0.045,0.5,0.2,2.1,0.6,2.5,1356,0.119,0.094,63,4.2,-0.402,1.2,1.4,0.059,1.1,1.1,0.05,0.036
3,2019,31.2,2.0,10.1,0.082,0.03,86,20,45,6.1,1169,18465,0.4,0.9,1.8,1.7,0.041,4880,0.182,0.066,0.038,0.5,0.2,2.2,0.6,2.5,1305,0.098,0.071,62,4.3,-0.388,1.3,1.8,0.066,1.0,1.1,-0.141,0.735
2,2019,30.2,3.2,12.9,0.108,0.031,83,23,50,1.6,1123,10643,0.264,0.5,1.3,1.2,-0.209,5679,0.172,0.028,0.008,0.8,0.3,2.3,0.7,3.8,519,0.169,0.06,56,4.4,-0.413,1.4,3.5,0.028,1.0,1.9,-0.041,0.006
1,2019,19.0,2.5,9.0,0.14,0.042,76,17,47,5.1,1419,10576,0.285,0.6,1.3,1.2,0.089,5919,0.176,0.051,0.013,0.7,0.3,1.8,0.7,3.5,490,0.318,0.152,46,4.8,-0.354,1.5,3.7,0.051,0.9,1.7,0.134,0.003
4,2018,16.6,2.0,9.5,0.128,0.039,80,22,51,5.3,1302,10548,0.294,0.6,1.2,1.0,-0.027,5218,0.158,0.049,0.033,0.5,0.2,1.8,1.5,3.4,301,0.141,0.074,51,4.6,-0.396,1.5,1.7,0.049,1.1,1.6,0.053,0.055
3,2018,16.1,2.2,8.2,0.139,0.045,75,20,40,5.7,1339,9995,0.303,0.6,1.2,1.0,-0.19,4954,0.156,0.048,0.031,0.6,0.2,1.7,1.6,3.3,268,0.108,0.074,55,4.9,-0.456,1.7,1.6,0.048,1.1,1.5,-0.103,-0.014
2,2018,10.5,1.7,8.8,0.17,0.056,65,22,39,5.1,1654,10141,0.308,0.7,1.2,1.0,0.076,5525,0.16,0.045,0.032,0.5,0.2,1.4,1.2,3.2,332,0.161,0.108,48,5.6,-0.414,1.7,1.5,0.045,1.0,1.5,0.076,0.039
1,2018,16.7,2.6,5.0,0.163,0.057,63,18,41,3.1,1537,9757,0.326,0.7,1.2,1.0,-0.111,5137,0.163,0.018,0.005,0.4,0.2,1.2,0.9,3.1,248,0.115,0.104,39,5.8,-0.398,1.8,5.7,0.018,1.4,1.4,-0.029,-0.012
4,2017,13.7,2.4,5.6,0.184,0.062,61,19,39,8.1,1728,9880,0.317,0.7,1.2,1.0,0.048,5288,0.154,0.045,0.036,0.5,0.2,1.4,2.7,3.2,258,0.281,0.19,42,5.9,-0.386,1.7,1.4,0.045,1.1,1.5,0.036,0.071
3,2017,8.2,1.5,6.8,0.186,0.065,65,18,35,13.9,1649,9226,0.349,0.8,1.2,1.0,0.278,5105,0.172,0.071,0.052,0.4,0.2,1.3,3.1,2.9,259,0.104,0.062,49,5.6,-0.377,1.8,1.4,0.071,1.0,1.2,0.207,-0.011
2,2017,9.8,1.4,5.6,0.143,0.052,58,21,34,4.9,1290,9326,0.357,0.9,1.2,1.0,0.048,4231,0.135,0.033,0.025,0.3,0.2,1.5,5.0,2.8,248,0.137,0.122,45,6.2,-0.26,1.8,1.5,0.033,1.2,1.2,0.039,0.029
1,2017,8.9,1.2,5.2,0.14,0.053,56,20,34,5.7,1231,9062,0.375,0.9,1.2,1.0,0.068,4071,0.151,0.032,0.022,0.3,0.1,1.4,7.3,2.7,209,0.107,0.105,41,6.6,-0.241,1.9,1.7,0.032,1.2,1.1,0.064,0.012
4,2016,10.0,1.3,4.6,0.132,0.05,50,19,26,10.9,1153,8957,0.361,0.9,1.2,1.1,-0.002,3824,0.136,0.049,0.037,0.3,0.2,1.5,3.0,2.8,288,0.139,0.167,43,7.3,-0.279,1.9,1.5,0.049,1.1,1.2,0.013,0.05
3,2016,11.3,1.5,5.3,0.139,0.053,48,21,26,6.5,1155,8528,0.356,0.8,1.3,1.1,0.017,3775,0.124,0.04,0.031,0.4,0.2,1.8,3.5,2.8,304,0.118,0.127,43,7.5,-0.264,1.9,1.4,0.04,1.1,1.2,0.023,-0.025
2,2016,9.3,1.2,5.4,0.137,0.052,51,24,32,4.1,1135,8743,0.368,0.9,1.4,1.1,0.047,3692,0.13,0.033,0.021,0.4,0.2,1.7,3.3,2.7,410,0.117,0.125,43,7.2,-0.26,1.8,1.6,0.033,1.0,1.1,0.045,0.019
1,2016,10.4,1.3,5.2,0.142,0.055,59,19,33,4.6,1084,8582,0.391,1.0,1.4,1.2,-0.167,3532,0.146,0.032,0.016,0.4,0.2,1.8,3.0,2.6,365,0.08,0.096,45,6.2,-0.225,1.9,2.3,0.032,1.2,1.0,0.001,0.008
4,2015,8.3,1.3,5.0,0.172,0.067,49,21,27,11.6,1301,8510,0.402,1.1,1.4,1.2,0.027,3530,0.147,0.053,0.04,0.4,0.2,1.9,1.9,2.5,353,0.156,0.176,43,7.5,-0.197,1.9,1.4,0.053,1.1,1.0,0.111,0.054
3,2015,8.1,1.3,6.4,0.177,0.071,40,23,22,7.1,1267,8077,0.403,1.1,1.4,1.1,0.043,3176,0.149,0.05,0.038,0.4,0.2,2.1,2.3,2.5,330,0.116,0.115,41,9.2,-0.178,1.9,1.3,0.05,1.0,0.9,0.155,0.033
2,2015,9.3,1.4,5.3,0.176,0.066,42,29,37,3.5,1215,7819,0.386,1.0,1.5,1.3,0.032,2751,0.125,0.032,0.021,0.4,0.2,2.3,0.8,2.6,408,0.368,0.384,34,8.7,-0.137,1.8,1.3,0.032,0.8,1.0,0.15,0.284
1,2015,7.0,1.3,8.7,0.188,0.068,56,17,34,10.6,1178,6089,0.346,0.6,1.2,1.0,0.686,2392,0.212,0.056,0.04,0.7,0.3,3.2,1.7,2.9,148,0.117,0.083,38,6.6,-0.117,1.9,0.9,0.056,0.6,1.5,0.432,-0.003
4,2014,,,10.6,0.11,0.041,51,23,32,5.2,698,6107,0.348,0.6,1.4,1.1,0.225,1670,0.169,0.064,0.047,0.7,0.3,4.7,1.1,2.9,248,0.157,0.13,42,7.2,-0.199,1.8,1.2,0.064,0.9,1.5,0.058,0.067
3,2014,,,9.6,0.095,0.037,45,20,25,3.6,570,5722,0.371,0.7,1.3,1.1,0.627,1579,0.142,0.042,0.034,0.7,0.3,4.9,1.2,2.7,181,0.094,0.093,40,8.1,-0.141,2.0,1.2,0.042,1.0,1.4,0.047,0.045
2,2014,,,9.2,0.06,0.021,45,34,31,1.9,350,5476,0.327,0.6,1.2,0.8,1.075,1508,0.148,0.031,0.019,0.8,0.3,5.8,1.5,3.1,127,0.125,0.154,48,8.1,-0.202,1.8,1.0,0.031,0.6,1.7,0.094,0.019
1,2014,,,9.1,0.029,0.01,54,27,34,0.5,168,5374,0.318,0.6,1.1,1.0,-0.341,1378,0.184,0.006,-0.014,0.9,0.3,6.8,2.5,3.1,78,0.163,0.226,47,6.8,-0.157,1.7,0.5,0.006,-1.1,1.8,-0.145,-0.035
4,2013,,,7.4,0.042,0.015,56,38,42,3.3,256,5570,0.335,0.6,1.2,1.0,5.512,1612,0.141,0.057,0.033,0.9,0.3,5.8,2.4,3.0,146,0.24,0.476,52,6.5,-0.211,1.5,1.2,0.057,0.7,1.7,0.299,0.048
3,2013,,,11.0,0.007,0.002,60,40,40,1.9,39,5314,0.339,0.6,1.1,0.9,-0.447,1240,0.135,0.042,0.009,1.0,0.4,8.0,2.7,2.9,101,0.091,0.198,60,6.1,-0.21,1.5,1.6,0.042,0.4,1.7,0.06,0.014
2,2013,,,12.0,0.012,0.004,53,50,34,0.6,71,5238,0.313,0.5,1.1,0.9,-0.292,1170,0.14,0.019,-0.011,1.2,0.4,8.4,4.1,3.2,100,0.089,0.173,70,6.9,-0.177,1.6,1.0,0.019,-0.6,1.9,-0.037,-0.018
1,2013,,,10.9,0.017,0.006,63,47,41,1.1,100,5337,0.319,0.5,1.1,0.8,-1.106,1215,0.189,0.04,-0.003,1.2,0.4,7.7,4.1,3.1,105,0.083,0.173,70,5.8,-0.175,1.6,-0.8,0.04,0.1,1.8,-8.49,-0.079
4,2012,,,-97.9,-0.146,-0.054,68,57,34,1.3,-950,5797,0.317,0.5,1.2,0.9,-0.012,-162,0.117,0.028,0.006,1.1,0.4,-66.1,2.8,3.2,167,0.141,0.241,92,5.3,-0.014,1.5,1.2,0.028,0.3,2.0,0.071,-0.017
3,2012,,,-84.9,-0.149,-0.056,84,50,43,1.1,-962,5897,0.329,0.5,1.2,0.8,-0.132,-152,0.138,0.037,0.014,1.3,0.4,-68.2,3.4,3.0,161,0.075,0.172,91,4.3,-0.074,1.4,1.0,0.037,0.4,1.9,-0.115,0.027
2,2012,,,-74.2,-0.174,-0.068,75,66,30,1.0,-1108,5740,0.379,0.6,1.3,0.8,0.098,-171,0.106,0.026,-0.006,1.0,0.4,-61.9,5.8,2.6,207,0.05,0.084,110,4.9,-0.056,1.5,1.0,0.026,-0.2,1.6,-1.656,-0.007
1,2012,,,66.9,-0.159,-0.058,86,53,40,-5.2,-1010,5781,0.378,0.6,1.3,0.9,4.907,261,0.027,-0.125,-0.183,0.9,0.4,40.1,5.1,2.6,238,0.108,0.137,98,4.3,-0.093,1.6,1.0,-0.125,1.5,1.6,-0.85,-0.157
4,2011,,,8.3,-0.024,-0.009,78,55,19,0.5,-171,6854,0.4,0.7,1.4,0.9,-2.477,1742,0.109,0.034,0.006,1.1,0.4,8.1,5.0,2.5,386,0.089,0.156,114,4.7,-0.179,1.5,1.0,0.034,0.2,1.5,-0.269,0.004
3,2011,,,8.1,0.017,0.006,93,40,24,1.1,115,6825,0.41,0.7,1.5,1.1,-0.473,2383,0.113,0.036,-0.007,0.9,0.4,6.5,3.8,2.4,383,0.059,0.078,109,3.9,-0.108,1.7,0.9,0.036,-0.2,1.4,-0.131,-0.013
2,2011,,,7.4,0.032,0.01,85,66,18,1.5,219,6912,0.399,0.7,1.4,1.0,-0.401,2743,0.115,0.051,0.008,1.1,0.4,6.5,5.6,2.5,394,0.106,0.136,133,4.3,-0.344,1.7,1.1,0.051,0.2,1.5,-0.088,0.01
1,2011,,,9.8,0.051,0.017,84,61,26,0.7,366,6841,0.354,0.6,1.3,1.0,-0.454,3008,0.103,0.03,-0.028,1.2,0.4,5.7,6.0,2.8,379,0.09,0.069,119,4.3,-0.519,1.7,1.5,0.03,-1.4,1.8,-0.094,-0.045
4,2010,,,11.7,0.091,0.031,87,48,21,5.0,670,7162,0.332,0.5,1.3,1.0,-0.435,3320,0.128,0.062,0.033,1.5,0.5,5.2,3.6,3.0,404,0.178,0.11,114,4.2,-0.495,1.6,1.2,0.062,0.7,2.0,-0.233,0.057
