quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
1,2015,32.3,2.0,75.6,0.084,0.048,44,1017,2,13.6,224,3675,0.586,1.5,9.2,3.3,0.412,509,0.313,0.195,0.292,0.6,0.3,22.1,0.1,1.7,3085,0.294,0.261,1059,8.3,-0.386,0.2,1.2,0.195,1.8,0.7,0.021,0.618
4,2014,,,55.3,0.084,0.042,42,1100,2,1.6,158,2271,0.468,0.9,6.5,2.1,0.732,499,0.154,0.078,0.074,0.9,0.4,30.2,0.2,2.1,2610,0.29,0.283,1139,8.7,-0.356,0.3,0.3,0.078,0.3,1.1,-1.615,0.025
3,2014,,,-38.0,0.049,0.029,45,2135,4,-1.4,91,2215,0.586,1.6,6.8,3.1,-1.942,-811,0.035,-0.068,0.271,0.4,0.2,-9.9,0.1,1.7,1915,0.301,0.294,2177,8.1,-0.138,0.1,1.2,-0.068,-4.6,0.6,0.733,0.045
2,2014,,,-63.6,-0.05,-0.026,227,4814,-15,-3.2,-97,2121,0.55,1.5,5.8,2.4,-0.581,-468,-2.975,-8.06,13.469,0.5,0.3,-24.4,0.2,1.8,1747,0.182,0.206,5056,1.6,-0.276,0.1,1.4,-8.06,-2.4,0.7,-0.649,0.307
1,2014,,,-19.4,-0.138,-0.069,740,4561,-3,3.6,-232,1622,0.539,1.2,7.1,2.8,-0.012,-1333,0.368,0.269,0.129,0.6,0.3,-10.4,0.0,1.9,1497,0.075,0.102,5304,0.5,0.662,0.0,1.6,0.269,0.8,0.9,-0.091,0.126
4,2013,,,-13.4,-0.147,-0.079,118,2978,8,-5.2,-235,1440,0.536,1.2,7.3,2.3,-0.231,-1467,-0.146,-1.251,-0.772,0.6,0.3,-8.2,0.0,1.9,1331,0.094,0.15,3089,3.1,-0.017,0.1,0.5,-1.251,0.3,0.8,0.103,-0.022
3,2013,,,-17.1,-0.185,-0.106,279,2520,16,-0.1,-305,1473,0.584,1.4,5.3,1.7,0.868,-1330,-0.153,-0.125,-3.234,0.4,0.2,-7.4,0.0,1.7,1125,0.078,0.156,2783,1.3,-0.148,0.0,1.2,-0.125,32.2,0.7,-0.044,0.042
2,2013,,,-15.1,-0.094,-0.049,506,4180,4,-62.4,-163,1414,0.384,0.9,5.1,1.3,1.143,-1391,1.091,1.217,1.084,0.7,0.3,-8.8,0.1,2.6,1774,0.158,0.391,4683,0.7,0.0,0.0,1.3,1.217,1.2,1.1,8.052,-0.04
1,2013,,,-114.8,-0.044,-0.023,370,3188,5,1.1,-76,1472,0.395,1.0,5.4,1.5,-0.135,-154,0.346,0.126,0.071,0.6,0.3,-75.2,0.1,2.5,1788,0.144,0.43,3554,1.0,-0.528,0.1,0.3,0.126,0.2,1.0,-0.525,-0.088
4,2012,,,-59.1,-0.049,-0.025,866,6652,-29,-4.1,-88,1613,0.495,1.2,4.7,1.6,4.291,-324,5.732,7.338,9.494,0.5,0.3,-38.3,0.1,2.0,1345,0.096,0.275,7548,0.4,-0.004,0.0,1.3,7.338,1.7,0.8,-0.117,-0.069
3,2012,,,-52.9,-0.009,-0.004,12753,-40287,-5,1.5,-16,1732,0.538,1.4,6.6,2.2,2.4,-366,0.801,0.449,0.012,0.4,0.3,-45.2,0.0,1.9,1354,0.059,0.133,-27529,0.0,-0.003,0.0,20.7,0.449,0.6,0.7,2.121,-0.005
2,2012,,,-186.9,-0.003,-0.001,2266,24945,-4,0.4,-4,1741,0.581,1.8,4.9,1.4,-1.393,-117,0.127,0.07,-0.01,0.3,0.2,-119.4,0.2,1.7,1152,0.042,0.073,27215,0.2,-0.003,0.0,-8.0,0.07,1.1,0.6,-1.341,0.054
1,2012,,,83.6,0.007,0.004,802,5319,-10,0.9,12,1652,0.572,1.7,5.8,1.8,-0.556,344,0.845,0.472,0.039,0.3,0.2,39.6,0.1,1.7,1177,0.079,0.107,6131,0.5,-0.188,0.1,3.3,0.472,0.3,0.6,-0.526,0.201
4,2011,,,51.3,0.015,0.007,652,3552,49,-1.0,28,1376,0.362,1.3,4.1,1.4,-0.773,726,0.252,0.582,0.155,0.5,0.2,20.3,0.9,2.8,1649,0.101,0.149,4155,0.6,-0.259,0.1,2.2,0.582,0.6,0.8,-0.791,0.115
3,2011,,,15.1,0.075,0.03,359,1493,4,1.4,124,1234,0.257,0.8,6.1,2.2,-0.309,3473,0.447,0.337,0.119,0.8,0.3,5.7,0.1,3.9,2422,0.096,0.086,1849,1.0,-0.256,0.2,1.5,0.337,0.5,1.2,-0.278,-0.01
2,2011,,,12.4,0.112,0.049,260,1169,1,1.5,179,1247,0.29,1.1,7.1,2.8,-0.248,4812,0.255,0.181,0.081,0.7,0.3,3.7,0.3,3.4,2207,0.135,0.097,1428,1.4,-0.878,0.3,1.1,0.181,0.5,0.9,-0.271,0.012
1,2011,,,9.1,0.153,0.069,151,1004,44,2.3,239,1232,0.292,1.1,6.7,2.8,-0.12,6602,0.346,0.245,0.105,0.7,0.3,2.4,0.4,3.4,2142,0.186,0.122,1111,2.4,-1.923,0.4,2.0,0.245,0.9,0.9,-0.068,0.006
4,2010,,,8.9,0.178,0.092,141,875,2,14.6,272,1224,0.297,1.2,5.5,2.3,0.198,7085,0.306,0.25,0.21,0.6,0.3,1.5,0.6,3.4,2006,0.235,0.141,1015,2.6,-1.864,0.4,1.6,0.25,1.4,0.9,-0.038,0.744
